Id;Name;Name.NCBI;entrez;product;ctrl4;ctrl5;ctrl6;IP1;IP2;IP3;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
gene0;SAOUHSC_00001;ABD29192.1;3919798;chromosomal replication initiator protein DnaA;14094;19538;3983;20639;17017;13167;13230.32702;0.185265528;0.285611545;0.648662604;0.516556481;0.604749051
gene1;SAOUHSC_00002;ABD29193.1;3919799;DNA polymerase III beta subunit;12111;15005;2112;15939;12157;11127;9703.317278;0.350954194;0.170702141;2.05594489;0.039787829;0.06960326
gene10;SAOUHSC_00012;ABD29202.1;3919184;conserved hypothetical protein;1156;2751;299;208;175;171;675.5486174;-2.948202451;0.325775925;-9.049786148;1.43E-19;3.84E-18
gene100;SAOUHSC_00107;ABD29288.1;3919816;conserved hypothetical protein;1832;2369;530;2228;1813;1587;1579.419184;-0.021133084;0.293272208;-0.072059619;0.942554462;0.95653895
gene1000;SAOUHSC_01039;ABD30159.1;3919887;conserved hypothetical protein;5621;6283;260;3481;2167;2103;2489.561063;-0.427324899;0.483852838;-0.883171214;0.377143772;0.470741496
gene1001;SAOUHSC_01040;ABD30160.1;3919888;pyruvate dehydrogenase complex E1 component alpha subunit putative;33028;21592;7494;36644;33929;25383;24343.82224;0.285558937;0.379746045;0.751973431;0.452067036;0.543433836
gene1002;SAOUHSC_01041;ABD30161.1;3919889;pyruvate dehydrogenase complex E1 component pyruvate dehydrogenase beta subunit putative;26372;15058;12824;28799;24628;19305;23287.62305;-0.384435765;0.588045376;-0.65375187;0.513271679;0.602191816
gene1003;SAOUHSC_01042;ABD30162.1;3919890;dihydrolipoamide S-acetyltransferase component of pyruvate dehydrogenase complex E2 putative;55673;34717;18732;59089;53073;39566;43566.92876;-0.090492562;0.481312289;-0.188012158;0.850867121;0.8885391
gene1004;SAOUHSC_01043;ABD30163.1;3919891;dihydrolipoamide dehydrogenase;80812;36926;13066;81667;65065;52240;49298.62653;0.338662232;0.409957492;0.826091092;0.40875242;0.500826969
gene1005;SAOUHSC_01044;ABD30164.1;3919892;conserved hypothetical protein;1002;1316;239;807;641;538;678.6021966;-0.542257293;0.242350945;-2.237487839;0.025254473;0.047358628
gene1006;SAOUHSC_01045;ABD30165.1;3919893;conserved hypothetical protein;1383;2243;98;1396;1489;1334;1037.242678;0.432306186;0.442337938;0.977321068;0.328410226;0.42224172
gene1007;SAOUHSC_01046;ABD30166.1;3919894;ABC transporter domain protein;1945;3299;148;2624;2908;2459;1770.64741;0.817113213;0.43749867;1.867693023;0.061804872;0.102421641
