#	Program:featureCounts	v2.1.1	Command:"featureCounts"	"-a"	"ref.gtf"	"-o"	"count.txt"	"-t"	"gene"	"-g"	"gene_id"	"-s"	"1"	"SRR10379721_1_trimmed_mapped.bam"	"SRR10379722_1_trimmed_mapped.bam"	"SRR10379723_1_trimmed_mapped.bam"	"SRR10379724_1_trimmed_mapped.bam"	"SRR10379725_1_trimmed_mapped.bam"	"SRR10379726_1_trimmed_mapped.bam"
Geneid	Chr	Start	End	Strand	Length	SRR10379721_1_trimmed_mapped.bam	SRR10379722_1_trimmed_mapped.bam	SRR10379723_1_trimmed_mapped.bam	SRR10379724_1_trimmed_mapped.bam	SRR10379725_1_trimmed_mapped.bam	SRR10379726_1_trimmed_mapped.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	20275	16813	12918	13968	19419	3941
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	15762	12016	11019	11919	14852	2075
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	1563	1187	823	1316	966	120
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	13733	11295	9770	7503	6630	838
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	29292	26225	23993	12005	12050	3484
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	44445	32814	31602	18722	12298	3967
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	6826	4721	4597	3491	4978	1203
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	2696	2247	2072	1182	1843	293
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	2193	1836	1231	40140	77812	13343
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	180	160	131	2077	4575	264
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	155	134	125	1141	2740	294
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1065	1123	814	4542	8797	1870
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	4446	3337	3391	6861	8751	1160
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	25447	21609	22167	20715	25658	5766
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	6335	5503	5626	5226	6488	1042
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	11556	10260	8627	14269	19466	6288
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	6811	6149	6752	8513	5184	3211
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	80	41	36	44	7	128
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	369	310	155	224	31	197
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	3638	3428	2538	3862	5942	916
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	11930	10337	8060	11274	13059	6156
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	12709	10826	8930	10210	12002	1984
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	9425	7779	7245	6814	8106	2075
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	2402	1432	1562	1280	1035	364
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	1631	1134	1207	1001	1377	657
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	375	229	342	62	49	16
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	1258	1126	865	1244	2108	676
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	2	3	3	2	0	3
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	5	7	16	53	104	13
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	1275	941	964	2319	3893	293
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	28288	17958	29584	1781	2005	309
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	49	27	124	18	35	18
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	14002	9309	15984	1358	1039	138
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	3596	2714	3216	306	292	15
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	24557	16318	25352	941	383	36
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	46587	32561	48261	2023	1098	272
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	45065	29415	42500	8508	8128	3301
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	223	171	124	174	132	14
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	2867	2447	1857	3151	4104	1977
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	18	14	16	20	39	6
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	639	510	493	407	561	57
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	340	213	247	384	497	42
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	168	91	95	97	130	24
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	1847	1289	1512	728	907	58
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	90	61	112	234	437	61
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	391	303	336	457	679	27
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	554	321	383	438	882	42
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	2477	1662	1883	2351	3193	328
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	1459	896	1188	926	1292	111
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	362	170	193	454	661	194
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	168	92	116	85	139	17
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	234	165	217	189	362	28
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	376	281	299	256	407	42
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	531	348	409	304	452	39
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	2728	2166	1841	3358	5006	463
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	537	493	366	755	910	279
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	930	660	597	1184	1877	400
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	1739	1373	1813	2097	1761	757
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	1796	1221	1188	1657	2397	716
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	77	26	47	18	20	3
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	134	84	98	214	237	26
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	345	280	256	1663	1991	306
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	5244	3790	3723	6029	7506	2159
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	2128	2247	1483	8913	5056	876
SAOUHSC_00070	NC_007795.1	75400	76152	-	753	358	260	304	951	1052	50
SAOUHSC_00071	NC_007795.1	76521	77435	-	915	4147	4380	2427	11088	13447	1664
SAOUHSC_00072	NC_007795.1	77516	78511	-	996	547	384	307	253	382	130
SAOUHSC_00074	NC_007795.1	78527	79519	-	993	770	474	444	673	848	48
SAOUHSC_00075	NC_007795.1	79885	80730	+	846	281	162	124	67	51	17
SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	405	236	191	166	151	77
SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	890	486	418	394	413	92
SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	594	299	288	232	217	130
SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	882	529	393	371	383	79
SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	1247	726	655	568	603	183
SAOUHSC_00081	NC_007795.1	88221	88997	+	777	632	371	357	303	397	167
SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	1149	640	618	506	761	167
SAOUHSC_00083	NC_007795.1	90203	90967	+	765	1286	711	768	541	807	201
SAOUHSC_00084	NC_007795.1	91163	91570	+	408	71	55	49	199	240	16
SAOUHSC_00085	NC_007795.1	91620	92246	+	627	112	90	91	387	405	57
SAOUHSC_00086	NC_007795.1	92458	93234	+	777	5113	4850	2269	9280	17970	10209
SAOUHSC_00087	NC_007795.1	93378	93500	+	123	3	4	6	2	4	0
SAOUHSC_00088	NC_007795.1	93570	94550	+	981	80	46	63	45	32	3
SAOUHSC_00089	NC_007795.1	94513	95205	+	693	48	38	41	35	22	11
SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	114	70	73	22	37	7
SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	102	53	73	46	63	4
SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	1106	764	826	1067	1701	137
SAOUHSC_00093	NC_007795.1	99488	100087	+	600	4023	2423	2816	1208	1224	338
SAOUHSC_00094	NC_007795.1	100455	101054	+	600	70648	59868	47328	38077	58503	15885
SAOUHSC_00096	NC_007795.1	101370	102125	-	756	1888	1345	1411	1240	1334	249
SAOUHSC_00097	NC_007795.1	102361	103068	+	708	6006	6166	3689	1282	2826	344
SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	11013	12207	7924	3293	5411	350
SAOUHSC_00100	NC_007795.1	104508	105170	+	663	14802	14922	11118	6061	8487	3705
SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	19072	21718	12674	12680	16509	6257
SAOUHSC_00102	NC_007795.1	106507	107322	-	816	310	169	166	127	78	24
SAOUHSC_00103	NC_007795.1	107319	108119	-	801	174	90	111	60	67	4
SAOUHSC_00104	NC_007795.1	108121	108894	-	774	194	112	128	56	68	8
SAOUHSC_00105	NC_007795.1	109108	110064	-	957	261	138	145	85	73	5
SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	1113	822	777	725	911	293
SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	2039	1670	1453	1607	2236	465
SAOUHSC_00108	NC_007795.1	113507	113710	+	204	18	11	11	3	18	0
SAOUHSC_00109	NC_007795.1	114083	114568	+	486	74	29	36	55	53	3
SAOUHSC_00111	NC_007795.1	114927	115214	+	288	17	11	15	52	31	40
SAOUHSC_00112	NC_007795.1	115796	116088	+	293	310	213	232	376	620	55
SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	2253	1449	1340	8549	21351	5722
SAOUHSC_00114	NC_007795.1	119492	120160	+	669	1354	1520	981	6040	11177	1017
SAOUHSC_00115	NC_007795.1	120176	120862	+	687	1666	1952	1136	6867	12798	2244
SAOUHSC_00116	NC_007795.1	120865	121629	+	765	2039	2455	1424	6831	15397	2338
SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	4229	5141	2629	11006	23244	8760
SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	2321	2746	1586	5498	13635	4275
SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	2523	2909	1611	5262	14191	2411
SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	2546	3034	1698	5760	14323	5601
SAOUHSC_00121	NC_007795.1	126743	127369	+	627	1135	1164	746	2601	6786	1686
SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	1743	1758	1076	4085	10770	1358
SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	1161	1126	740	2868	7624	2213
SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	771	691	608	2114	5577	724
SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	2580	2657	1643	4474	14851	4645
SAOUHSC_00126	NC_007795.1	132078	132635	+	558	1212	1239	824	2084	8211	3292
SAOUHSC_00127	NC_007795.1	132635	133522	+	888	2451	2405	1589	3979	10865	1819
SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	3676	3582	2214	5304	17604	5615
SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	4214	3887	2754	5564	15407	5464
SAOUHSC_00130	NC_007795.1	136125	136451	-	327	1112	920	738	592	881	56
SAOUHSC_00131	NC_007795.1	136458	136841	-	384	779	640	533	486	735	38
SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	12570	13569	4556	22155	33329	3094
SAOUHSC_00133	NC_007795.1	139401	140360	+	960	656	562	384	1364	1571	174
SAOUHSC_00134	NC_007795.1	140422	140625	-	204	36	32	16	110	63	10
SAOUHSC_00135	NC_007795.1	140804	141316	+	513	1477	839	945	263	334	114
SAOUHSC_00136	NC_007795.1	141658	142398	+	741	377	196	219	31	40	10
SAOUHSC_00137	NC_007795.1	142412	143386	+	975	582	333	344	83	117	58
SAOUHSC_00138	NC_007795.1	143383	144144	+	762	467	267	258	69	97	17
SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	1328	786	835	1020	1825	290
SAOUHSC_00141	NC_007795.1	145405	145764	+	360	31944	19816	20392	5648	5388	287
SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	1819	1660	1168	268	243	84
SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	11495	5968	6820	1911	2338	316
SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	132815	76749	76114	59653	68083	14063
SAOUHSC_00145	NC_007795.1	156233	156877	+	645	20683	12187	11704	7414	7409	1046
SAOUHSC_00146	NC_007795.1	157205	157684	-	480	3856	2150	3232	3674	3446	1956
SAOUHSC_00147	NC_007795.1	157954	158718	-	765	3018	1607	2698	400	475	55
SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	3214	1800	3021	422	595	148
SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	861	463	732	151	216	37
SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	1022	615	966	152	287	41
SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	2100	1527	1601	6674	7490	348
SAOUHSC_00152	NC_007795.1	164125	164622	-	498	1614	1323	832	864	842	325
SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	2747	2460	1262	1412	2956	424
SAOUHSC_00154	NC_007795.1	166583	166684	+	102	42	24	25	14	5	0
SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	5498	3487	3547	13064	13086	3478
SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	3146	3866	2080	6873	16930	1773
SAOUHSC_00157	NC_007795.1	170349	171245	+	897	1926	2708	1393	2467	7998	2484
SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	3423	4489	2306	3392	9268	2960
SAOUHSC_00160	NC_007795.1	172714	173589	+	876	2619	3054	1702	1776	3739	384
SAOUHSC_00161	NC_007795.1	173783	174064	-	282	93	39	48	83	146	9
SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	2830	2390	1768	4384	5677	659
SAOUHSC_00163	NC_007795.1	177271	178113	+	843	1196	1019	742	3091	4801	249
SAOUHSC_00164	NC_007795.1	178115	179038	+	924	1164	1092	672	2660	3139	289
SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	1700	1543	1106	2850	5035	484
